Generator,HiGHS,Kelley,Subgradient,AbsDiff_Kelley,AbsDiff_Subgradient
1,0.0,0.0,0.8534126586464318,0.0,0.8534126586464318
2,191.92636372081995,191.8111811685642,191.22248395772016,0.11518255225576013,0.7038797630997919
3,228.25095518424246,228.25095518424246,228.30232407228308,0.0,0.05136888804062778
