Iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
2,-10.0,-10.0,-8.648359567591672,-8.490597419800853,-9.062684645884154,-9.724967862251326,-9.382980686808548,-8.958733724919847,-10.0,-10.0,-10.0,-10.0,-8.968112265901349,-10.0,-9.624116456637664,-9.58247053487989,-9.992793642906685,-9.434502515844986,-6.950812912014338,-10.0,-10.0,-8.880563618669752,-10.0,-8.787882071998656,-9.29037840173793,-8.424108051726126,-9.07102218670598,-8.476552160534018,-9.796743903364254,-8.943116444136303,-9.540068159674508,-10.0,-10.0,-10.0,-9.950434647714022,-8.673086747800223,-7.524468365483117,-8.049218233377765,-10.0,-10.0,-9.024442999351544,-10.0,-10.0,-8.987671999072944,-8.11708794437597,-10.0,-9.213741485830313,-9.87299601413979,-9.606429852028377,-9.581716920402755,-10.0,-10.0,-8.05864384742239,-9.905968827717327,-8.542358334466153,-9.676681884585278,-10.0,-7.353322067107544,-7.999852342898006,-8.343048158115858,-10.0,-8.938614881888737,-9.733549082592472,-10.0,-8.104070094852453,-10.0,-9.02026670984052,-10.0,-10.0,-9.337990735891175,-10.0,-10.0,-10.0,-8.78668734174365,-10.0,-10.0,-10.0,-9.470916475413818,-9.991852194746452,-9.22569776410799,-10.0,-10.0,-10.0,-10.0,-9.357332319482122,-9.716416546559643,-10.0,-9.58265683253384,-8.899544432632732,-10.0,-10.0,-10.0,-9.124051401434153,-8.961319876994049,-10.0,-8.563653614227846,-10.0,-10.0,-10.0,-10.0
3,-9.68577351474129,-10.0,-9.102956021571018,-8.953134768119908,-10.0,-9.706821738860315,-8.405666418372045,-8.921310170515092,-9.245886953934274,-9.184416845325497,-8.69879997650899,-9.849034500988608,-10.0,-9.553853202819424,-10.0,-10.0,-9.547275645791753,-9.403950291402298,-7.752792436971561,-9.369751929232843,-9.306955844363314,-7.370912792988903,-10.0,-9.008047072180153,-9.849831611614972,-8.76950587915861,-9.245932730072523,-8.789310303982743,-10.0,-9.681948454345337,-8.737584716445182,-9.932458373614935,-10.0,-8.648982102146444,-9.86416882672126,-8.112830205541142,-8.966003349712452,-9.542161585336785,-10.0,-8.675063081872949,-9.701276649489293,-9.750905823157762,-8.442951866827253,-8.242410380935976,-8.891760616278551,-10.0,-9.11122130993722,-9.242018446081126,-8.597002198994065,-10.0,-10.0,-9.546875686919964,-8.444825593068272,-9.11768723488289,-9.847577781111125,-9.482011635902897,-8.206736021027245,-8.70951642327882,-8.165541094286114,-7.137723428063145,-9.589579856058643,-8.429650218156077,-8.96807967065217,-10.0,-8.145997785061525,-10.0,-9.360043421179935,-9.100333000713919,-10.0,-10.0,-9.468681215920197,-9.759070386619566,-9.50611712188965,-8.438689744225892,-10.0,-9.355996504057911,-9.995837002676506,-8.832210013828668,-10.0,-8.99258541746676,-9.893635874397997,-10.0,-10.0,-9.857689799353818,-10.0,-10.0,-9.631309232075498,-9.968435125478965,-8.545312094334387,-9.09010303592243,-9.319937241709484,-9.415851636517505,-8.634708179128474,-9.099047604287641,-10.0,-7.95864834318275,-9.187928780367272,-10.0,-9.901633659955301,-10.0
4,-9.984926856902435,-10.0,-8.322586054072488,-8.081680782126414,-9.458840727985647,-9.54803186009532,-8.049430151805762,-8.320134806299487,-10.0,-9.863122750268257,-9.206550150810354,-10.0,-9.40423933894467,-10.0,-9.782983535055804,-9.758939250918305,-9.543115053584051,-9.077460166699344,-5.992343450913507,-9.919020310900471,-9.464019189132541,-6.7246058968872235,-10.0,-8.308230460159006,-9.440131390835592,-7.859664238608924,-8.70958713949603,-7.909747283770704,-9.882650037892919,-9.071756448865342,-8.472042944624379,-10.0,-10.0,-9.334094539939443,-9.835552257236472,-7.346736482192319,-7.536754494136694,-8.415877207247224,-10.0,-9.216258506819248,-9.138038552555082,-10.0,-9.185430706050942,-7.657942537092545,-7.804660834103625,-10.0,-8.657274745128715,-9.168692660656578,-8.369774368117648,-9.758504151397066,-10.0,-10.0,-7.3239830957846515,-9.063398312253272,-9.006007973133144,-9.295343834934323,-8.685360768981596,-7.181456206265119,-7.010755306039279,-6.181081836117089,-9.670364416692214,-7.816859234500677,-8.81424416176111,-10.0,-7.051382143959927,-10.0,-8.79439414237232,-9.409855634419303,-10.0,-9.617788773160743,-9.661063861862232,-10.0,-9.648592629092521,-7.738183354370408,-10.0,-10.0,-10.0,-8.52674349848504,-9.995295862443559,-8.545541813140378,-10.0,-10.0,-10.0,-9.960863926895772,-9.628955641653532,-9.836273016818486,-10.0,-9.727481935397927,-7.909963776283671,-9.449903183464077,-10.0,-9.892102862886455,-8.128979019950206,-8.49936535566824,-10.0,-7.1293733707076505,-9.468002830725377,-10.0,-9.971959420881678,-10.0
5,-9.412476091038025,-10.0,-8.366094460795194,-8.09532659289677,-10.0,-9.891565084035907,-8.283247932155543,-9.11764523115892,-10.0,-10.0,-8.778048522552844,-10.0,-9.09957192331006,-9.957196468909272,-10.0,-10.0,-9.623840477946512,-9.69026620238761,-6.592825524591854,-9.598607062007138,-8.636520177766378,-7.165438814401364,-10.0,-8.82480447330589,-9.597473677380838,-7.601499727996346,-7.800434141965079,-8.04965534276812,-9.92487044257658,-9.699399031354057,-8.567563239644945,-9.86032144491898,-9.957356116265062,-8.565790616497427,-9.507533022893394,-7.3624367415014245,-8.235616589436864,-8.03676881060755,-8.905591872192085,-8.717838602952053,-8.679251262396297,-9.040131864778695,-8.544337849643496,-7.420180631140774,-7.481072997385111,-10.0,-7.325469272594108,-9.864420990357408,-7.234654054541836,-9.854312429136735,-9.653303796704316,-9.718034854995961,-7.0754259357156295,-9.554951543824126,-9.45011687760771,-9.00227171656211,-8.355038257610769,-7.193967239119882,-7.576723738798317,-5.620127258986235,-9.562572160140705,-7.671221379868315,-9.120473310256122,-9.410643224203138,-6.877461005479863,-9.606286590155197,-8.833879870783896,-8.550949237736917,-8.67650683832393,-9.337354270961866,-9.480259330047835,-10.0,-10.0,-7.663615790969602,-10.0,-9.273462800588462,-9.804530709899002,-8.355921558164262,-10.0,-9.225036835907257,-10.0,-10.0,-9.884586147901997,-10.0,-8.405823664912894,-10.0,-9.56091511391743,-8.624255135767028,-8.107714190374985,-9.621923787084775,-9.644351707233138,-9.832012830926923,-8.405359046338269,-9.527174040892925,-9.636588577531485,-7.418901946939859,-9.83501200091467,-9.82933459364801,-10.0,-9.392463310979185
6,-9.644199273468505,-10.0,-7.761622483194748,-7.420301237948996,-9.580819830368537,-9.768566972835282,-8.00730850661028,-8.651976796407476,-10.0,-10.0,-9.171350116373462,-10.0,-8.638097699591498,-10.0,-9.831899769083664,-9.813275146676462,-9.620617697080354,-9.437368039252465,-5.229187603621739,-10.0,-8.758180921484549,-6.664811645373202,-10.0,-8.282728856554451,-9.280121250977631,-6.896739423689353,-7.384982633942172,-7.368348756923894,-9.833971552792821,-9.226746336311471,-8.361875467648069,-10.0,-10.0,-9.096476428867797,-9.48536672348536,-6.76902309506862,-7.128525186390681,-7.16435268272066,-9.133569894784372,-9.137046776524185,-8.242968908521147,-9.39145313912328,-9.119459485488449,-6.967453786020901,-6.639009126979271,-10.0,-6.9738437754798275,-9.807623081198036,-7.058644133585996,-9.667250549173257,-9.916656429786876,-10.0,-6.207225070575431,-9.512899525178515,-8.798239707413773,-8.857679459677222,-8.725779393192754,-6.01033688462065,-6.682230513534917,-4.87911586820695,-9.625147611733606,-7.196555524987629,-9.00131283745804,-9.653085673212498,-6.029575375782934,-10.0,-8.395729823460671,-8.79070443885996,-8.912460766441113,-9.041294727705477,-9.629278286814397,-10.0,-10.0,-7.121005874605168,-10.0,-9.966349696285796,-10.0,-8.119308212814284,-9.996356190717128,-8.878758348990335,-10.0,-10.0,-10.0,-10.0,-8.118413940796875,-9.873177624162643,-9.948904817744475,-8.437613597287145,-7.615575499404723,-9.900623782963129,-10.0,-10.0,-8.013622924100487,-9.062662168509096,-10.0,-6.776548315375324,-10.0,-9.99263019809445,-10.0,-9.420357794880484
7,-9.794256136232578,-10.0,-8.261831440508336,-7.268637110695041,-8.768179574088165,-9.473527435540088,-8.407133885317915,-8.474466274954986,-10.0,-10.0,-8.625269789303028,-9.960675956904574,-9.073842504418229,-9.982768648952081,-9.926628000992634,-10.0,-8.718866547959712,-8.438685801685136,-6.372903129107686,-10.0,-8.919616376696792,-6.50814283407187,-10.0,-8.561738829076,-8.611621893591085,-6.494118507469663,-7.279279193470072,-6.897419755431933,-9.15889093556722,-8.603935626559924,-7.797901014960921,-9.974354491396976,-9.638485182932941,-9.291568577411692,-9.685025677150097,-6.765753251465615,-7.591385052242677,-6.823973131107055,-8.75126562513822,-8.850165137788544,-8.561883488875598,-9.704852371704936,-8.96853391599054,-7.1471603430014445,-6.547689376308545,-9.90532143715792,-7.5647144702432385,-9.424817409381431,-6.690927713079772,-9.407004483808253,-9.07577158013562,-9.768562551742912,-6.482962139056748,-8.920042815642896,-8.770032444565542,-8.956637741850436,-8.53369922076845,-5.31113450933693,-6.364966425384013,-4.948349491849989,-9.437443765885595,-7.443290867242191,-8.555138188455656,-9.682690897825356,-5.736851018662127,-9.92930293077699,-8.33359759841357,-8.455486735643369,-8.78564239180331,-9.10974091640279,-10.0,-10.0,-10.0,-7.011625335211969,-10.0,-10.0,-9.622676774238274,-8.117190203812667,-9.897321191536331,-9.182688343932957,-10.0,-10.0,-10.0,-9.938967329577206,-8.34282991511237,-10.0,-9.876518930312507,-7.4881219446404055,-8.07673129857461,-9.568881021636361,-10.0,-9.994236426338746,-7.751660861636044,-8.707660550315628,-9.757255373600719,-6.763182278603768,-10.0,-10.0,-10.0,-9.76748809024994
8,-9.61713976093005,-10.0,-7.940110489504621,-7.381117500005363,-8.815730485608807,-9.437771727383378,-8.37666787655547,-8.67949982647445,-9.114897237948247,-10.0,-8.825930051303398,-10.0,-8.887542468569718,-9.238831908291441,-9.461711879650851,-10.0,-8.587304944401081,-8.350948274727173,-6.87070093127479,-9.84778581998755,-9.165870753628612,-6.820586542607475,-9.643496679747692,-8.516581286182035,-9.082510801759351,-5.35177324471598,-6.96419210097749,-7.115229774690826,-9.092646984696126,-8.367244300604312,-7.636430033434356,-9.975749214552895,-10.0,-8.867021964420196,-9.112452412476346,-6.866760643770132,-7.198342639720138,-6.237981010124767,-8.820018981730467,-9.028580548090458,-9.30850420334811,-9.881224674242073,-9.343837982841356,-6.711505019347446,-6.760534683283943,-9.897231656651748,-7.420793806873693,-9.441978674733747,-6.6673093319404115,-8.54291053706652,-9.146297570112052,-10.0,-6.756385725340639,-9.414173231877825,-9.073080624228538,-8.777426774484484,-8.539717168598754,-4.726018056954812,-6.531584840705117,-4.864059790598385,-10.0,-7.215682972246204,-8.613815487202599,-9.391738312699204,-5.5624569688406265,-10.0,-8.328788369823279,-8.329194557579568,-8.677533982282107,-8.644354045781286,-10.0,-9.691803697063575,-9.915830257987317,-7.239453626634245,-9.71643296065224,-10.0,-9.090230569964628,-8.366501666749071,-9.662564819723853,-8.84480968876022,-10.0,-10.0,-10.0,-9.770149085202513,-8.655798868049176,-10.0,-9.657450658897858,-8.384085157371771,-8.28817094556283,-9.929110205161232,-9.61002500995997,-9.216506197793972,-7.196202794789565,-8.279562356295566,-10.0,-7.014575751640425,-10.0,-9.829870928914248,-9.69124790662674,-9.734396007967396
9,-9.054784817786416,-9.915753983507612,-7.732253101491717,-7.385531394323137,-8.56067275681823,-9.810931999562012,-8.372899519303829,-8.505297912654916,-9.057306543636887,-10.0,-8.697165809919778,-10.0,-8.010153766201983,-8.262846001626968,-9.540641857586781,-10.0,-8.035305660103678,-8.291232794907264,-6.588166325970642,-10.0,-9.2276688475072,-6.849353800455882,-9.542141993221307,-8.832611828109627,-8.613893046903419,-5.549535962172533,-7.120823132403378,-7.296052145808008,-9.28743163085936,-8.473578673734162,-7.769943159118114,-10.0,-9.974590827287297,-8.122423356449923,-9.269223150439071,-7.354248378582834,-6.911129910665277,-6.284905831319865,-9.006178365372362,-9.27504359063897,-9.663490614926875,-9.474828548266228,-8.927880369903159,-7.530946550493253,-6.657924992269676,-9.741334790120172,-7.270428852799417,-9.337355750115002,-6.632823140323599,-8.563336875551482,-8.513637215863847,-9.823706435084269,-6.464270920213993,-8.777570137265936,-9.749740335369912,-8.302728592101465,-7.917533387147894,-5.1774642374529085,-6.835840317756987,-5.026051441034233,-9.749652132620334,-7.135235197668898,-8.455701591619606,-9.728571219880646,-5.890599837129647,-9.591499227874479,-8.582090625062138,-8.38635538966928,-8.761786939218673,-8.859319113683345,-9.559566493560816,-9.90456867012531,-9.74350139284801,-7.333929172230301,-10.0,-9.804965825863801,-9.689339188941759,-8.786018587390624,-9.15015494349357,-9.266376979608262,-10.0,-10.0,-9.46449410735299,-9.590477118571929,-8.779849023845053,-10.0,-9.803085270343617,-8.782366886288271,-8.295278825334991,-9.527698137204906,-9.462975991474192,-9.569771085915296,-7.780006355057643,-8.478238101795101,-9.626699484084016,-6.470947640110034,-10.0,-9.164512238207106,-10.0,-9.3269341000548
10,-8.906657032083183,-10.0,-7.946551925033153,-7.603573591355436,-9.017864739330744,-9.802377834960657,-7.9121891549292815,-8.487656279924446,-8.701814244534008,-9.615530413805429,-8.083774236392719,-9.928834181282555,-8.559294678800981,-8.052530384499605,-9.784689388526967,-10.0,-7.825286462169933,-8.276830338184759,-6.966223099617321,-9.702898210220535,-8.900964699432263,-6.137697576414015,-9.802941652910459,-8.936398604515144,-8.87762181921051,-5.712358059495607,-7.203276753280382,-7.443487748543947,-9.409022135498677,-8.821867423451826,-7.391648836119856,-9.968160571980501,-10.0,-7.485547411732161,-9.228557052433333,-7.090140911759152,-7.590676019109414,-6.988686076718263,-9.223112017101995,-8.650462337670941,-9.982553057425305,-9.357404427200075,-8.19388084083629,-7.179626854531446,-7.023109191937821,-9.818073986103979,-7.22210037841112,-9.039910072014417,-6.156974381271744,-8.819979197001054,-8.747281618657995,-9.61010158541801,-6.646318740958433,-8.405970630747428,-10.0,-8.210960156809076,-7.0721806404884235,-5.816780388023331,-6.913946744205563,-4.457855914266155,-9.556178221342671,-6.895306954262435,-8.094855850303695,-9.729089931145756,-5.910364739840529,-9.619741337495931,-8.742262902847047,-7.962248298999319,-8.778989301849236,-9.444227490560955,-9.309100416764403,-9.790993361185338,-9.510682771365506,-7.169881531536011,-10.0,-9.501379666471472,-9.687376733183422,-8.48492947394094,-9.19900726025948,-9.156486765549381,-9.94985947034123,-10.0,-9.67523413484048,-9.52339144663264,-9.114408463980372,-10.0,-9.62928277557009,-8.96422451760565,-8.128292099650773,-9.098768594884705,-9.142391332794423,-9.294400906556964,-7.549327747844295,-8.543163575079575,-9.90125195162259,-6.185745420236972,-9.617185955860846,-9.503725940733943,-9.953629662609261,-9.745145295517547
