Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e6,249.0170057227222,249.0170057227222,1.0002490170057227e6
2,-1.0e6,198.47997852127168,198.47997852127168,1.0001984799785212e6
3,-1.0e6,184.4885840167811,184.4885840167811,1.0001844885840168e6
4,-1.0e6,184.4885840167811,186.52788647237853,1.0001844885840168e6
5,-1.0e6,149.31539300247331,149.31539300247331,1.0001493153930025e6
6,-1.0e6,144.64440562167974,144.64440562167974,1.0001446444056217e6
7,-1.0e6,138.46152413569274,138.46152413569274,1.0001384615241357e6
8,-1.0e6,130.4820836399168,130.4820836399168,1.00013048208364e6
9,-1.0e6,127.71990463235942,127.71990463235942,1.0001277199046323e6
10,-1.0e6,112.20132802437826,112.20132802437826,1.0001122013280244e6
11,-1.0e6,112.20132802437826,112.71825580689382,1.0001122013280244e6
12,-1.0e6,112.20132802437826,114.05329119004884,1.0001122013280244e6
13,-1.0e6,100.76334906158728,100.76334906158728,1.0001007633490616e6
14,-1.0e6,96.03159294462387,96.03159294462387,1.0000960315929446e6
15,-1.0e6,93.1504342849556,93.1504342849556,1.0000931504342849e6
16,-1.0e6,88.34740825469159,88.34740825469159,1.0000883474082547e6
17,-1.0e6,87.19497843365232,87.19497843365232,1.0000871949784337e6
18,-1.0e6,78.39361314042986,78.39361314042986,1.0000783936131404e6
19,-1.0e6,75.72276969430162,75.72276969430162,1.0000757227696943e6
20,-1.0e6,73.03740244121052,73.03740244121052,1.0000730374024413e6
21,-1.0e6,66.12808202105845,66.12808202105845,1.000066128082021e6
22,-1.0e6,66.11882192401768,66.11882192401768,1.000066118821924e6
23,-1.0e6,59.553347645472,59.553347645472,1.0000595533476454e6
24,-1.0e6,59.553347645472,60.8921882755945,1.0000595533476454e6
25,-1.0e6,53.228746676900634,53.228746676900634,1.0000532287466769e6
26,-1.0e6,52.7322312252711,52.7322312252711,1.0000527322312252e6
27,-1.0e6,50.18713714653684,50.18713714653684,1.0000501871371465e6
28,-1.0e6,48.930782551242906,48.930782551242906,1.0000489307825513e6
29,-1.0e6,46.366208514005734,46.366208514005734,1.000046366208514e6
30,-1.0e6,45.45840464510683,45.45840464510683,1.0000454584046451e6
31,-1.0e6,41.458168019705276,41.458168019705276,1.0000414581680197e6
32,-1.0e6,38.86904931200307,38.86904931200307,1.000038869049312e6
33,-1.0e6,36.90810429027421,36.90810429027421,1.0000369081042903e6
34,-1.0e6,36.90810429027421,37.1088754183418,1.0000369081042903e6
35,-1.0e6,33.99128784392745,33.99128784392745,1.0000339912878439e6
36,-1.0e6,32.07401068556925,32.07401068556925,1.0000320740106856e6
37,-1.0e6,30.709695410761867,30.709695410761867,1.0000307096954108e6
38,-1.0e6,30.709695410761867,30.878131897525424,1.0000307096954108e6
39,-1.0e6,26.443514310663023,26.443514310663023,1.0000264435143106e6
40,-1.0e6,25.93427073121712,25.93427073121712,1.0000259342707312e6
41,-1.0e6,23.18186520817229,23.18186520817229,1.0000231818652082e6
42,-1.0e6,22.616468342197503,22.616468342197503,1.0000226164683423e6
43,-1.0e6,22.269327961807384,22.269327961807384,1.0000222693279618e6
44,-1.0e6,19.028055224419816,19.028055224419816,1.0000190280552245e6
45,-1.0e6,16.127863441277196,16.127863441277196,1.0000161278634412e6
46,-1.0e6,16.127863441277196,17.39814431918741,1.0000161278634412e6
47,-1.0e6,15.145056944077346,15.145056944077346,1.0000151450569441e6
48,-1.0e6,14.154516642603166,14.154516642603166,1.0000141545166426e6
49,-1.0e6,13.099762183860216,13.099762183860216,1.0000130997621838e6
50,-1.0e6,11.636235512410497,11.636235512410497,1.0000116362355124e6
51,-1.0e6,11.636235512410497,12.433789451858754,1.0000116362355124e6
52,-1.0e6,6.526373484726047,6.526373484726047,1.0000065263734848e6
53,-1.0e6,6.526373484726047,8.321042280301409,1.0000065263734848e6
54,-1.0e6,5.585765883935592,5.585765883935592,1.0000055857658839e6
55,-1.0e6,5.128170523769026,5.128170523769026,1.0000051281705238e6
56,-1.0e6,3.8681519708602536,3.8681519708602536,1.0000038681519709e6
57,-1.0e6,2.3502400312986853,2.3502400312986853,1.0000023502400313e6
58,-1.0e6,2.3502400312986853,2.581142737236171,1.0000023502400313e6
59,-1.0e6,2.3502400312986853,2.688860224484056,1.0000023502400313e6
60,-1.0e6,2.0875816540468026,2.0875816540468026,1.0000020875816541e6
61,-1.0e6,-0.9416140812646169,-0.9416140812646169,999999.0583859187
62,-1.0e6,-0.9416140812646169,-0.2322021446599425,999999.0583859187
63,-1.0e6,-2.161309302566561,-2.161309302566561,999997.8386906974
64,-1.0e6,-2.6103672170847942,-2.6103672170847942,999997.3896327829
65,-1.0e6,-3.782840797383371,-3.782840797383371,999996.2171592027
66,-1.0e6,-6.143383932110017,-6.143383932110017,999993.8566160679
67,-1.0e6,-6.143383932110017,-6.109956673315894,999993.8566160679
68,-1.0e6,-6.7696514602115805,-6.7696514602115805,999993.2303485398
69,-1.0e6,-8.845128531849898,-8.845128531849898,999991.1548714682
70,-1.0e6,-8.845128531849898,-8.544928062232175,999991.1548714682
71,-1.0e6,-9.46174984059287,-9.46174984059287,999990.5382501594
72,-1.0e6,-9.46174984059287,-8.740460872434582,999990.5382501594
73,-1.0e6,-9.46174984059287,-8.951323484255228,999990.5382501594
74,-1.0e6,-10.865369786246516,-10.865369786246516,999989.1346302137
75,-1.0e6,-10.993683693347787,-10.993683693347787,999989.0063163067
76,-1.0e6,-13.207623009007722,-13.207623009007722,999986.792376991
77,-1.0e6,-15.0104822653304,-15.0104822653304,999984.9895177346
78,-1.0e6,-15.114216703618757,-15.114216703618757,999984.8857832964
79,-1.0e6,-15.114216703618757,-15.055019214380053,999984.8857832964
80,-1.0e6,-16.64272175015855,-16.64272175015855,999983.3572782498
81,-1.0e6,-18.004560712317726,-18.004560712317726,999981.9954392876
82,-1.0e6,-19.073007019280013,-19.073007019280013,999980.9269929808
83,-1.0e6,-19.073007019280013,-18.725281594723334,999980.9269929808
84,-1.0e6,-19.406652203213895,-19.406652203213895,999980.5933477968
85,-1.0e6,-19.406652203213895,-17.110184400320616,999980.5933477968
86,-1.0e6,-20.337145075193828,-20.337145075193828,999979.6628549248
87,-1.0e6,-21.034091251648448,-21.034091251648448,999978.9659087483
88,-1.0e6,-21.187061718616633,-21.187061718616633,999978.8129382813
89,-1.0e6,-21.74309256687767,-21.74309256687767,999978.2569074332
90,-1.0e6,-21.876737077285686,-21.876737077285686,999978.1232629227
91,-1.0e6,-25.34913699885491,-25.34913699885491,999974.6508630011
92,-1.0e6,-25.787912486869864,-25.787912486869864,999974.2120875132
93,-1.0e6,-26.046429661799692,-26.046429661799692,999973.9535703382
94,-1.0e6,-26.046429661799692,-25.754352853472657,999973.9535703382
95,-1.0e6,-26.132412092000358,-26.132412092000358,999973.867587908
96,-1.0e6,-26.132412092000358,-25.664147280080922,999973.867587908
97,-1.0e6,-26.132412092000358,-25.877859536071462,999973.867587908
98,-1.0e6,-26.549543096766563,-26.549543096766563,999973.4504569032
99,-1.0e6,-28.914565783177967,-28.914565783177967,999971.0854342168
100,-1.0e6,-28.914565783177967,-28.587929931515703,999971.0854342168
101,-1.0e6,-31.378775373520465,-31.378775373520465,999968.6212246264
102,-1.0e6,-31.378775373520465,-31.03409951090259,999968.6212246264
103,-1.0e6,-32.412195720335745,-32.412195720335745,999967.5878042796
104,-1.0e6,-32.412195720335745,-30.813963680549872,999967.5878042796
105,-1.0e6,-32.412195720335745,-31.836262702308943,999967.5878042796
106,-1.0e6,-32.412195720335745,-31.77222585083716,999967.5878042796
107,-1.0e6,-32.412195720335745,-31.686718281680335,999967.5878042796
108,-1.0e6,-34.649524053188195,-34.649524053188195,999965.3504759468
109,-1.0e6,-35.377560806508264,-35.377560806508264,999964.6224391935
110,-1.0e6,-35.6226969624432,-35.6226969624432,999964.3773030376
111,-1.0e6,-35.6226969624432,-35.050748612832145,999964.3773030376
112,-1.0e6,-36.4049607386558,-36.4049607386558,999963.5950392614
113,-1.0e6,-36.588717931338955,-36.588717931338955,999963.4112820687
114,-1.0e6,-36.588717931338955,-36.27442129726807,999963.4112820687
115,-1.0e6,-38.34429474713269,-38.34429474713269,999961.6557052529
116,-1.0e6,-38.34429474713269,-37.88273323092125,999961.6557052529
117,-1.0e6,-38.73048609350966,-38.73048609350966,999961.2695139064
118,-1.0e6,-39.569062062310145,-39.569062062310145,999960.4309379377
