Index,Value
1,4.276889382372801
2,-5.361669199210205
3,-9.988310313672493
4,6.687158959976687
5,-10.0
6,2.945611259483952
7,0.590865308431478
8,-10.0
9,-1.0579908718217974
10,-4.906314577485329
11,7.8916536122845775
12,-9.948367660852194
13,0.20810347671173668
14,4.932698126096337
15,-8.721711812478139
16,-9.942632416259793
17,10.0
18,1.2187137765276876
19,-3.602779016541018
20,-9.94201613705865
21,-6.3466457840340835
22,-0.09741915603918878
23,-4.974721006202088
24,-9.896574728978962
25,-9.973371008915038
26,9.979564566858194
27,-9.973499194487273
28,-2.624265881123708
29,10.0
30,-9.071608251144538
31,7.546039512480077
32,-9.940776835978882
33,1.0441595050402654
34,4.376589321208311
35,6.301786856139656
36,-4.9584733983062055
37,10.0
38,3.0537279654567167
39,-5.05762664762978
40,1.0138341623868328
41,-9.994942376691988
42,-0.5312144512053305
43,5.158684686172588
44,5.116713086556039
45,-4.659213065545635
46,-10.0
47,7.162164781645446
48,-8.373135014687543
49,10.0
50,-10.0
51,6.829270946775483
52,-9.945445168484778
53,4.245964208084772
54,10.0
55,-10.0
56,-9.969998505685947
57,-1.4913783518567862
58,4.57944124669196
59,-7.925755499576844
60,4.761520126661416
61,-7.716081611454553
62,8.217017614760072
63,-9.887282482155273
64,-6.14356359265804
65,-0.054727364112888574
66,-6.9194765697264
67,4.260925493916265
68,-5.666466321719607
69,-8.653204159637832
70,-9.977045874103544
71,-6.960380487259456
72,-9.977323714265397
73,-4.553472332025999
74,3.284626117234756
75,-9.966320018898388
76,1.7148101143987293
77,-9.956766644109987
78,9.98891464760564
79,-0.5008013049563225
80,-9.984395373946668
81,-9.99893122208978
82,-9.988179209369846
83,-9.984111347212181
84,-1.62019766075333
85,8.852337841102564
86,-9.999530250350885
87,-8.425298293989156
88,-9.962682101006985
89,-9.950577559893611
90,4.674220099050826
91,-10.0
92,3.604669558852256
93,8.270217322083761
94,7.368152426666525
95,-9.744694724284765
96,-1.324891554649112
97,-9.874264933002731
98,9.260121354336686
99,-9.987319894780333
100,-7.6288119918724915
