id,caiso_qpos,name,fuel_tag,class,nameplate,rho,rho_hat,cost_ann,is_intermittent,county
118,1636,CALYPSO SOLAR,Battery+Solar,hybrid_solar,400.0,0.6,0.4,160000.0,true,RIVERSIDE
119,1642,OBERON,Battery+Solar,hybrid_solar,500.0,0.6,0.4,160000.0,true,RIVERSIDE
120,1643,LYCAN SOLAR,Solar+Battery,hybrid_solar,400.0,0.6,0.4,160000.0,true,RIVERSIDE
121,1645,MENIFEE POWER BANK,Battery,storage,680.0,0.95,0.55,135000.0,true,RIVERSIDE
122,1646,DOUBLE BUTTE STORAGE,Battery,storage,500.0,0.95,0.55,135000.0,true,RIVERSIDE
123,1647,ARIDA 2 SOLAR FARM,Battery+Solar,hybrid_solar,700.0,0.6,0.4,160000.0,true,CLARK
124,1649,BONANZA SOLAR,Battery+Solar,hybrid_solar,300.0,0.6,0.4,160000.0,true,CLARK/NYE
125,1650,ROUGH HAT HYBRID SOLAR,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,NYE
126,1654,YELLOW PINE 3,Solar+Battery,hybrid_solar,250.0,0.6,0.4,160000.0,true,CLARK
127,1655,BONANZA PEAK SOLAR FARM,Battery+Solar,hybrid_solar,400.0,0.6,0.4,160000.0,true,CLARK/NYE
