id,caiso_qpos,name,fuel_tag,class,nameplate,rho,rho_hat,cost_ann,is_intermittent,county
229,2027,HARQUAHALA FLATS 2,Battery+Solar,hybrid_solar,400.0,0.6,0.4,160000.0,true,MARICOPA
230,2029,HARQUAHALA SUNRISE 2,Solar+Battery,hybrid_solar,150.0,0.6,0.4,160000.0,true,MARICOPA
231,2032,TROLLEY,Battery,storage,400.0,0.95,0.55,135000.0,true,SAN BERNARDINO
232,2033,CARMINE,Battery,storage,285.0,0.95,0.55,135000.0,true,RIVERSIDE
233,2036,REDONDA,Solar+Battery,hybrid_solar,250.0,0.6,0.4,160000.0,true,RIVERSIDE
234,2039,SANDRIFT STORAGE 1,Battery,storage,250.0,0.95,0.55,135000.0,true,RIVERSIDE
235,2041,SANDRIFT STORAGE 2,Battery,storage,250.0,0.95,0.55,135000.0,true,RIVERSIDE
236,2042,EASLEY,Battery+Solar,hybrid_solar,650.0,0.6,0.4,160000.0,true,RIVERSIDE
237,2048,TWIN PALMS SOLAR,Battery+Solar,hybrid_solar,280.0,0.6,0.4,160000.0,true,RIVERSIDE
238,2052,BOUSE SOLAR AND STORAGE PLANT,Solar+Battery,hybrid_solar,1000.0,0.6,0.4,160000.0,true,LA PAZ
239,2055,EUISMOD,Solar+Battery,hybrid_solar,600.0,0.6,0.4,160000.0,true,KERN
240,2059,J90 ENERGY STORAGE,Battery,storage,250.0,0.95,0.55,135000.0,true,LOS ANGELES
241,2060,SAGEBRUSH ENERGY STORAGE,Battery,storage,500.0,0.95,0.55,135000.0,true,KERN
242,2061,JUNIPER STORAGE,Solar+Battery,hybrid_solar,150.0,0.6,0.4,160000.0,true,LOS ANGELES
243,2062,DORIAN STORAGE,Battery,storage,200.0,0.95,0.55,135000.0,true,LOS ANGELES
244,2064,ELION ENERGY STORAGE,Battery,storage,300.0,0.95,0.55,135000.0,true,LOS ANGELES
245,2066,DRIFTER ENERGY STORAGE,Battery,storage,500.0,0.95,0.55,135000.0,true,VENTURA
246,2068,BOBOR STORAGE,Battery,storage,150.0,0.95,0.55,135000.0,true,TULARE
247,2078,SOLEIL CANTIL,Solar+Battery,hybrid_solar,350.0,0.6,0.4,160000.0,true,KERN
248,2081,MINERAL KING SOLAR,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,TULARE
249,2082,ELECTRON,Battery,storage,300.0,0.95,0.55,135000.0,true,LOS ANGELES
250,2085,SOLSKEN,Battery+Solar,hybrid_solar,460.0,0.6,0.4,160000.0,true,TULARE
251,2089,GREASEWOOD ENERGY STORAGE,Battery,storage,500.0,0.95,0.55,135000.0,true,KERN
252,2092,ROSA STORAGE,Battery,storage,500.0,0.95,0.55,135000.0,true,VENTURA
253,2097,SIENNA SOLAR 2,Solar+Battery,hybrid_solar,55.0,0.6,0.4,160000.0,true,SAN BERNARDINO
254,2101,WESTON STORAGE,Battery,storage,200.0,0.95,0.55,135000.0,true,SAN BERNARDINO
255,2103,CADY SOLAR,Solar+Battery,hybrid_solar,300.0,0.6,0.4,160000.0,true,SAN BERNARDINO
256,2105,CONDUIT ENERGY STORAGE,Battery,storage,500.0,0.95,0.55,135000.0,true,SAN BERNARDINO
257,2111,FLEETWOOD,Battery,storage,400.0,0.95,0.55,135000.0,true,LOS ANGELES
258,2113,GABRIEL STORAGE,Battery+Battery,storage,400.0,0.95,0.55,135000.0,true,LOS ANGELES
259,2114,DIRAC,Battery,storage,400.0,0.95,0.55,135000.0,true,SAN BERNARDINO
260,2115,SIMON,Battery,storage,400.0,0.95,0.55,135000.0,true,LOS ANGELES
261,2116,MARICI,Battery,storage,400.0,0.95,0.55,135000.0,true,LOS ANGELES
262,2117,CORAL REEF,Battery,storage,400.0,0.95,0.55,135000.0,true,LOS ANGELES
263,2121,GREENWOOD ENERGY STORAGE,Battery,storage,250.0,0.95,0.55,135000.0,true,LOS ANGELES
264,2124,TABLA ENERGY STORAGE,Battery,storage,300.0,0.95,0.55,135000.0,true,LOS ANGELES
265,2125,TYRELL ENERGY STORAGE,Battery,storage,300.0,0.95,0.55,135000.0,true,ORANGE
266,2129,LOS NIETOS,Battery,storage,100.0,0.95,0.55,135000.0,true,ORANGE
267,2136,HAVEN STORAGE,Battery,storage,300.0,0.95,0.55,135000.0,true,LOS ANGELES
268,2139,COMMERCE ENERGY STORAGE 3,Battery,storage,250.0,0.95,0.55,135000.0,true,L.A
269,2140,STERLING,Battery+Solar,hybrid_solar,250.0,0.6,0.4,160000.0,true,CLARK
270,2141,DELAMAR ENERGY STORAGE 2,Battery,storage,250.0,0.95,0.55,135000.0,true,CLARK
271,2142,SILVER STAR SOLAR,Battery+Solar,hybrid_solar,500.0,0.6,0.4,160000.0,true,NYE
272,2144,ROCK VALLEY ENERGY CENTER,Battery+Solar,hybrid_solar,500.0,0.6,0.4,160000.0,true,NYE
273,2145,DANDELION HYBRID SOLAR,Solar+Battery,hybrid_solar,220.0,0.6,0.4,160000.0,true,NYE
