α,Γ,cost
0.0,0.0,7.792207792207796e9
0.0,50.0,7.792207792207796e9
0.2,0.0,8.73376623376624e9
0.2,50.0,8.88180312703725e9
0.4,0.0,9.675324675324678e9
0.4,50.0,1.0013600597625004e10
0.5,0.0,1.0146103896103899e10
0.5,50.0,1.063187857188499e10
0.6,0.0,1.0616883116883121e10
0.6,50.0,1.1349395217208e10
0.8,0.0,1.2288363225108234e10
0.8,50.0,1.3640417837182234e10
