Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e7,2.5,2.5,1.00000025e7
2,-12.5,2.5,10.0,15.0
3,-5.0,2.5,6.25,7.5
4,-5.0,2.5,5.125,7.5
5,-5.0,2.5,4.84375,7.5
6,-5.0,2.5,4.7119140625,7.5
7,-5.0,2.5,4.228661660441455,7.5
8,-5.000000000000001,2.5,4.384789233540207,7.500000000000001
9,-4.774521357356632,2.5,4.438951284801103,7.274521357356632
10,-4.435289965631284,2.5,3.678884709478709,6.935289965631284
11,-4.0548112295035885,2.5,2.6062603286528923,6.5548112295035885
12,-3.9106652546975256,2.381881698809016,2.381881698809016,6.292546953506541
13,-3.7535581952699952,2.381881698809016,2.4379098109613935,6.135439894079012
14,-3.278772289950541,1.9297642134959805,1.9297642134959805,5.208536503446521
15,-2.661155187829085,1.9297642134959805,2.167469400007616,4.590919401325065
16,-2.519034621722657,1.9297642134959805,1.9334019094933688,4.448798835218637
17,-2.4699363934435867,1.9297642134959805,2.053166797344817,4.399700606939567
18,-2.4447830045482446,1.4381554230062408,1.4381554230062408,3.8829384275544854
19,-2.3454302120574613,0.8742138715114095,0.8742138715114095,3.2196440835688707
20,-2.104615959159478,0.8742138715114095,1.4682986960454245,2.9788298306708874
21,-1.5631307707433044,0.8742138715114095,1.051354534893936,2.437344642254714
22,-1.4193642317932944,0.8742138715114095,1.3307738876102981,2.293578103304704
23,-1.3703766331455753,0.8742138715114095,1.0414384549434383,2.2445905046569847
24,-1.2701595800350773,0.7896901967627971,0.7896901967627971,2.0598497767978743
25,-1.1624751662654043,0.7896901967627971,1.329225870024009,1.9521653630282012
26,-1.1178680198272017,0.7896901967627971,1.1143944692860377,1.9075582165899987
27,-1.1143483111998074,0.6758116174136526,0.6758116174136526,1.79015992861346
28,-1.1131945335092166,0.6758116174136526,0.7244519743097648,1.7890061509228692
29,-1.055770882562174,0.6758116174136526,0.8093249547226735,1.7315824999758267
30,-0.8770978785805208,0.4661490931352733,0.4661490931352733,1.3432469717157942
31,-0.842757401927524,0.4106918498104305,0.4106918498104305,1.2534492517379545
32,-0.7346409599324635,0.4106918498104305,0.6716180193733983,1.1453328097428939
33,-0.6807693966428245,0.4106918498104305,0.8891536605219243,1.091461246453255
34,-0.6649316882060539,0.4106918498104305,0.5032033395862774,1.0756235380164845
