Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e6,45.99331710926792,45.99331710926792,1.0000459933171093e6
2,-80.80158013821182,45.99331710926792,78.18580495682144,126.79489724747974
3,-34.22014297444401,34.587725106226664,34.587725106226664,68.80786808067067
4,-27.66116306074736,22.8030331088803,22.8030331088803,50.464196169627655
5,-24.95697550312921,22.8030331088803,23.28166940826869,47.760008612009514
6,-18.064537173440392,22.8030331088803,33.99216892204606,40.86757028232069
7,-16.72906810244146,22.8030331088803,31.67107908624224,39.53210121132176
8,-7.931532303628217,22.8030331088803,36.889015069095535,30.734565412508516
9,-7.219828828247605,18.361260500497856,18.361260500497856,25.581089328745463
10,-6.006219906059599,5.577940417424113,5.577940417424113,11.584160323483712
11,-3.626928645366741,5.577940417424113,11.482028755170411,9.204869062790854
12,-2.6566246602768357,5.577940417424113,6.3064443397763315,8.23456507770095
13,-2.6026838115959774,-2.6026838115959734,-2.6026838115959734,3.9968028886505635e-15
