Iteration,x1,x2,x3
1,0.0,0.0,0.0
2,1.0e6,1.0e6,1.0e6
3,0.0,0.0,279.94584379224096
4,61.124952866523046,0.0,218.82027965173828
5,57.67129808737814,0.0,274.8260523610499
6,86.3258247199604,0.0,243.77508726742508
7,79.78658304831868,0.0,284.549951749809
8,100.1733759593988,0.0,262.67418185326085
9,93.8128383007001,0.0,293.16221286400776
10,107.71057408331433,0.0,277.6418839530984
11,150.4613698825778,0.0,229.89983284591548
12,121.98111439332119,0.0,270.916652719636
13,105.04135286638363,0.0,295.3130331354043
14,112.92136342365845,0.0,287.43101802026166
15,120.87214723623694,0.0,279.4782116461483
16,116.88136045000742,0.0,288.7929276136866
17,121.07270829865243,0.0,284.59870857691766
18,118.80205292852506,0.0,289.90008348522804
19,123.60704065327418,0.0,285.0885446985051
20,120.79021900588499,0.0,289.3196223083126
21,351.8455124398721,0.0,57.79988915693447
22,207.64625233372425,58.70562763214722,143.28924677831728
23,157.81252926793186,78.99366508580974,172.83345504707282
24,124.32254890319867,92.62792586670898,192.68818180521455
25,103.10708470808112,101.26505160622325,205.26589131873735
26,86.9795699020883,107.83079874067886,214.8271808827667
27,76.42133882380652,112.12920902156037,221.08668867660697
28,69.68678260781782,114.87094534664668,225.07930891852882
29,66.03908549607095,116.35597618660687,227.24186705267644
30,70.7660201146271,114.43157197430926,226.5431088584238
31,67.35383036643803,115.82072432238606,227.55200991311676
32,64.48157311161086,116.9900622561697,228.40126613495542
33,0.0,154.9386552333491,254.63771041930497
34,0.0,154.93865523334892,254.98764761324543
35,22.356329169594815,159.29473362730263,228.222258180783
36,22.253139358534593,159.34632853283273,228.27339502178285
37,6.445234128966026,175.14949920285576,228.25095518424246
38,6.488298535358997,175.14137848622124,228.25095518424243
39,0.0,186.66477432042782,228.23292965902823
40,0.0,186.66477432042836,228.25331420879374
41,0.0,192.28127477356384,228.25095518424249
42,0.0,189.45044420442676,228.25095518424249
43,0.0,191.1056696686607,228.25052480840674
44,0.0,191.10566966876254,228.25101162742016
45,0.0,191.8111811685642,228.25095518424246
46,0.0,192.04988833956887,228.25093608690486
47,0.0,191.69043723817822,228.25095046552408
48,0.0,191.57247399687768,228.25095518424249
