Hour,Gen1,Gen2,Gen3,Flow1
1,0.0,142.3650668048129,65.43163077707757,-80.0
2,0.0,142.3650668048129,55.7361887252724,-80.0
3,0.0,131.97088900401073,46.040746673467225,-80.0
4,0.0,131.97088900401073,36.34530462166205,-80.0
5,0.0,152.75924460561504,65.43163077707757,-80.0
6,0.0,173.54760020721932,94.51795693249306,-80.0
7,0.0,194.3359558088236,113.90884103610341,-80.0
8,0.0,204.73013360962577,133.29972513971376,-80.0
9,0.0,204.73013360962577,123.60428308790858,-80.0
10,0.0,194.3359558088236,113.90884103610341,-80.0
11,0.0,183.94177800802146,104.21339898429824,-80.0
12,0.0,183.94177800802146,94.51795693249306,-80.0
13,0.0,183.94177800802146,84.82251488068792,-80.0
14,0.0,173.54760020721932,75.12707282888275,-80.0
15,0.0,194.3359558088236,94.51795693249306,-80.0
16,0.0,215.1243114104279,113.90884103610341,-80.0
17,-0.0,231.92636372081995,146.9814704827312,-76.01369670878773
18,0.0,225.51848921123005,162.38605129512928,-80.0
19,0.0,215.1243114104279,152.6906092433241,-80.0
20,0.0,204.73013360962577,133.29972513971376,-80.0
21,0.0,183.94177800802146,104.21339898429824,-80.0
22,0.0,163.15342240641718,84.82251488068792,-80.0
23,0.0,152.75924460561504,75.12707282888275,-80.0
24,0.0,142.3650668048129,65.43163077707757,-80.0
25,0.0,137.36042421213682,74.86710520953852,-80.0
26,0.0,137.36042421213682,64.54263152890263,-80.0
27,0.0,127.80035351011401,54.21815784826671,-80.0
28,0.0,127.80035351011401,43.89368416763082,-80.0
29,0.0,146.9204949141596,74.86710520953852,-80.0
30,0.0,166.0406363182052,105.84052625144622,-80.0
31,0.0,185.1607777222508,126.48947361271803,-80.0
32,0.0,194.7208484242736,147.13842097398984,-80.0
33,0.0,194.7208484242736,136.81394729335395,-80.0
34,0.0,185.1607777222508,126.48947361271803,-80.0
35,0.0,175.60070702022801,116.16499993208214,-80.0
36,0.0,175.60070702022801,105.84052625144622,-80.0
37,0.0,175.60070702022801,95.51605257081033,-80.0
38,0.0,166.0406363182052,85.19157889017441,-80.0
39,0.0,185.1607777222508,105.84052625144622,-80.0
40,0.0,204.2809191262964,126.48947361271803,-80.0
41,0.0,223.401060530342,157.46289465462573,-80.0
42,0.0,213.8409898283192,178.11184201589754,-80.0
43,0.0,204.2809191262964,167.78736833526165,-80.0
44,0.0,194.7208484242736,147.13842097398984,-80.0
45,0.0,175.60070702022801,116.16499993208214,-80.0
46,0.0,156.4805656161824,95.51605257081033,-80.0
47,0.0,146.9204949141596,85.19157889017441,-80.0
48,0.0,137.36042421213682,74.86710520953852,-80.0
49,0.0,137.37861955337112,80.01902097688392,-80.0
50,0.0,137.37861955337112,69.35108624509166,-80.0
51,0.0,127.81551629447594,58.68315151329941,-80.0
52,0.0,127.81551629447594,48.01521678150715,-80.0
53,0.0,146.9417228122663,80.01902097688392,-80.0
54,0.0,166.0679293300567,112.0228251722607,-80.0
55,0.0,185.19413584784706,133.3586946358452,-80.0
56,0.0,194.75723910674225,154.69456409942975,-80.0
57,0.0,194.75723910674225,144.0266293676375,-80.0
58,0.0,185.19413584784706,133.3586946358452,-80.0
59,0.0,175.63103258895188,122.69075990405295,-80.0
60,0.0,175.63103258895188,112.0228251722607,-80.0
61,0.0,175.63103258895188,101.35489044046844,-80.0
62,0.0,166.0679293300567,90.68695570867618,-80.0
63,0.0,185.19413584784706,112.0228251722607,-80.0
