scenario,profit_qdr0,profit_qdr2,in_tail_qdr0,in_tail_qdr2
2015-06,74577.45559803901,84916.66859618796,false,false
2015-07,98722.05342461685,110143.81656880434,false,false
2015-08,85485.64702920333,102983.28163873925,false,false
2015-09,86865.86240528536,97610.39756378498,false,false
2016-06,59336.06314830012,70515.11176516167,false,true
2016-07,95285.42067840649,107316.31616447508,false,false
2016-08,74358.74940237618,88694.60365703901,false,false
2016-09,84881.99115522364,98214.2629567669,false,false
2017-06,89517.47209668695,100476.74453023559,false,false
2017-07,90137.65849267795,100550.17051157512,false,false
2017-08,73743.86531259511,84898.95618651621,false,false
2017-09,85414.00352031321,96826.76393220671,false,false
2018-06,152484.399415236,167231.98951994945,false,false
2018-07,137069.62249484754,161876.57840883045,false,false
2018-08,132378.89843592377,149675.85888240818,false,false
2018-09,73010.65576996669,85038.51883554863,false,false
2019-06,109750.02357995725,124820.07491762353,false,false
2019-07,125009.35794215287,142864.37774855967,false,false
2019-08,371041.90612179495,502413.9515965577,false,false
2019-09,134217.1381043611,171820.22977945497,false,false
2020-06,110150.51823343035,122984.00994272622,false,false
2020-07,111182.64010257993,123765.03321104338,false,false
2020-08,115681.73399148624,136948.74260802407,false,false
2020-09,74760.23368393762,89516.90074168243,false,false
2021-06,106400.12874540014,128769.94829017411,false,false
2021-07,77043.7368195857,90542.59195560843,false,false
2021-08,101008.7087458947,110474.98566947908,false,false
2021-09,102278.45389866942,110372.85168222546,false,false
2022-06,167218.73738204225,170661.4471825266,false,false
2022-07,270873.633477815,358505.45709977293,false,false
2022-08,59336.063148300054,70515.11176516177,true,false
2022-09,53012.56257120772,58777.96011195217,true,true
2023-06,153413.07484233417,202167.8113666528,false,false
2023-07,147390.00574471737,165810.74667739656,false,false
2023-08,374404.48045798414,519271.33128173155,false,false
2023-09,187511.99393582146,259984.18661108817,false,false
2024-06,100964.17710561582,112529.66497672795,false,false
2024-07,81797.58317413687,93352.02538819048,false,false
2024-08,92191.00049930463,112999.64556534088,false,false
2024-09,59709.33074713562,71868.72713586433,false,false
