scenario,profit
s0825,190639.7647649353
s0826,190691.6276626398
s0827,178718.35009163106
s0828,173862.9962499257
s0829,194492.39140604174
s0830,175870.92343846097
s0831,211831.7046993685
s0832,164742.80425564037
s0833,173199.78295696067
s0834,156872.0264573793
s0835,156865.84168612017
s0836,181777.19350650162
s0837,146082.7067118543
s0838,166598.64988241953
s0839,196056.28578374462
s0840,179069.57181385186
s0841,177067.53176974185
s0842,165313.28918754437
s0843,190358.36882591998
s0844,183973.51439463612
s0845,159533.1728910808
s0846,155682.0394358175
s0847,175277.2088436942
s0848,165590.03974155316
s0849,165749.03134062127
s0850,141291.52590479216
s0851,143773.4554399168
s0852,183765.30821848923
s0853,186495.69147620257
s0854,181245.4715775681
s0855,168623.20297614232
s0856,187510.24324412376
s0857,134605.4215847088
s0858,163471.10688813034
s0859,177614.9568865405
s0860,182207.8676029736
s0861,193506.33025347616
s0862,197317.3145755338
s0863,157644.07877380672
s0864,163193.49230472767
s0865,156959.8446651753
s0866,176826.32016083633
s0867,169622.989062391
s0868,164340.5422762509
s0869,157428.2290545193
s0870,174797.45649856984
s0871,170777.26818398925
s0872,175669.1302274685
s0873,169046.16587528275
s0874,198080.9944639337
s0875,170015.63782165383
s0876,143750.4207997206
s0877,162043.0947034167
s0878,152224.48728208555
s0879,177286.13310668353
s0880,157066.49339630248
s0881,192660.77527979505
s0882,178835.3629225926
s0883,153108.5159240207
s0884,179666.68068655318
s0885,170345.45379237013
s0886,160835.91584966637
s0887,174202.82983162595
s0888,161665.6675677382
s0889,176292.86416383064
s0890,177592.48861373728
s0891,176000.0398221195
s0892,149814.17432428547
s0893,177236.0074000561
s0894,180192.62198015928
s0895,148605.34265188593
s0896,171349.57039041602
s0897,184989.3839221287
s0898,143686.06144157884
s0899,175183.98550177994
s0900,183959.00054361272
s0901,171950.9916821098
s0902,176725.49072985217
s0903,186111.40566076868
s0904,152513.74071903955
s0905,172010.7992818672
s0906,204243.2653709486
s0907,193418.67024416654
s0908,180471.88930472484
s0909,173766.0780689257
s0910,160704.61012588535
s0911,157835.21043624848
s0912,164125.70505328107
s0913,181089.37752213047
s0914,175086.81040223362
s0915,172225.98868937552
s0916,156039.79252538615
s0917,177949.25593388287
s0918,184150.22639392945
s0919,163685.97540125545
s0920,164449.25414740693
s0921,188313.87879251235
s0922,160561.64900703845
s0923,182762.489693173
s0924,160629.4536082574
s0925,154331.98541643954
s0926,164546.06516133956
s0927,157315.72998499672
s0928,199212.4488139464
s0929,161606.26213699594
s0930,185968.27888222932
s0931,178467.86107051754
s0932,180341.06348902418
s0933,157918.92028157163
s0934,172752.65494711764
s0935,165718.86725389445
s0936,136844.11316417617
s0937,157660.72085018747
s0938,165550.81551560748
s0939,175860.71647594636
s0940,159575.7597543232
s0941,148894.43860854744
s0942,170032.03950845433
s0943,175490.61064042634
s0944,185577.2260820324
s0945,170054.83603901378
s0946,185626.56144730008
s0947,170522.97271804983
s0948,204828.1943448575
s0949,172339.66570613545
s0950,177240.44793643637
s0951,193388.15530871172
s0952,159069.77623002004
s0953,161522.30277696982
s0954,152514.29041292146
s0955,169324.5240203123
s0956,180243.350365402
s0957,165071.03089312592
s0958,185650.499757375
s0959,174406.95717102295
s0960,159432.05752972048
s0961,181517.12169539602
s0962,203747.6409325781
s0963,185189.99011851184
s0964,161054.21700638608
s0965,161576.83811417027
s0966,172583.73176755145
s0967,168260.1821005216
s0968,177973.42246085353
s0969,178772.07601496138
s0970,184272.2159368581
s0971,152386.21376336872
s0972,149075.15910332918
s0973,177249.7607781285
s0974,158642.4738094679
s0975,196290.62622257342
s0976,149809.4367437545
s0977,168089.1711925933
s0978,168590.7312753667
s0979,166612.20977816728
s0980,183854.0048289505
s0981,161057.0883494103
s0982,172703.94884464698
s0983,176486.50694498848
s0984,172435.35010810374
s0985,175512.85981899058
s0986,184539.78056088366
s0987,178175.2628308867
s0988,130886.66377192101
s0989,169023.25015480194
s0990,154405.02007579297
s0991,130598.8286258653
s0992,150067.76989249227
s0993,179350.29407469422
s0994,171222.53919725167
s0995,143168.71852990406
s0996,168074.8044682378
s0997,195637.4395186966
s0998,174188.45118921157
s0999,173873.87548130265
s1000,161136.58564331295
