Qdr_max,Qsell,QWind,QSolar,Qdr_contracted,EΠ,CVaR,ρ
0.0,7.50704293081532,10.0,10.0,0.0,119490.4260358841,56174.31285975389,87832.36944781899
0.25,7.56281895847671,10.0,10.0,0.25,122550.08482209794,57233.34074460414,89891.71278335105
0.5,7.618594986138096,10.0,10.0,0.5,125609.7436083118,58292.368629454526,91951.05611888316
0.75,7.674371013799483,10.0,10.0,0.75,128669.40239452566,59351.39651430496,94010.39945441531
1.0,7.730147041460869,10.0,10.0,1.0,131729.06118073946,60410.42439915542,96069.74278994744
1.25,7.785923069122259,10.0,10.0,1.25,134788.71996695336,61469.45228400577,98129.08612547956
1.5,7.841699096783646,10.0,10.0,1.5,137848.37875316717,62528.4801688562,100188.42946101169
1.75,7.897475124445036,10.0,10.0,1.75,140908.03753938104,63587.50805370649,102247.77279654377
2.0,7.953251152106417,10.0,10.0,2.0,143967.69632559488,64646.53593855692,104307.1161320759
