month,T,demand_1,demand_2,demand_scale,sc_1,sc_2,C1,C2,C12,savings,share_1,share_2,eps
7,720,industrial,residential,0.0,0.0,0.0,68.13,65.0,126.41,6.719999999999999,0.5123803496558816,0.48761965034411836,3.3599999999999994
7,720,industrial,residential,0.05,0.03832311149605562,0.07510907459537948,67.68,64.2,122.745,9.134999999999991,0.5141757301723084,0.48582426982769156,4.567500000000003
7,720,industrial,residential,0.1,0.07231559727521712,0.1411976630297053,67.23,63.6,119.14,11.690000000000012,0.5152341782776566,0.48476582172234345,5.844999999999999
7,720,industrial,residential,0.15,0.10574041995365062,0.20288217203991737,66.78,63.0,115.78,14.0,0.5163240628778718,0.4836759371221282,7.0
7,720,industrial,residential,0.2,0.1361630656148318,0.26010780748077067,66.33,62.4,114.73,13.999999999999986,0.5171271681338795,0.4828728318661205,7.0
7,720,industrial,residential,0.25,0.16253013881411085,0.311514989623359,65.88,61.8,113.67999999999999,14.0,0.517945109078114,0.482054890921886,7.0
7,720,industrial,residential,0.3,0.18861045436456847,0.3574290587050771,65.42999999999999,61.199999999999996,112.62999999999998,14.000000000000014,0.5187783006303827,0.4812216993696173,7.0
7,720,industrial,residential,0.35,0.21450642571221237,0.3988020629995685,64.98,60.6,111.57999999999998,14.000000000000028,0.5196271733285535,0.48037282667144654,7.000000000000014
7,720,industrial,residential,0.4,0.2400980828202907,0.43724358052342127,64.53,60.0,110.53,14.0,0.5204921740703882,0.4795078259296119,7.0
7,720,industrial,residential,0.45,0.26387848498326283,0.47216457421524516,64.08,59.4,109.47999999999999,14.0,0.5213737668980636,0.4786262331019364,7.0
7,720,industrial,residential,0.5,0.28345115756454975,0.5029897055499619,63.629999999999995,58.80000000000001,108.42999999999998,14.000000000000028,0.5222724338282763,0.47772756617172374,7.000000000000014
7,720,industrial,residential,0.55,0.3029799386689762,0.5305032157313991,63.17999999999999,58.20000000000001,107.37999999999998,14.000000000000014,0.5231886757310485,0.4768113242689515,7.000000000000014
7,720,industrial,residential,0.6,0.32225707530607,0.5558523571756354,62.730000000000004,57.60000000000001,106.32999999999998,14.000000000000028,0.5241230132606037,0.4758769867393962,7.000000000000014
7,720,industrial,residential,0.65,0.34081731782110997,0.5786398723296414,62.279999999999994,57.00000000000001,105.27999999999999,14.000000000000014,0.5250759878419452,0.4749240121580548,7.000000000000007
7,720,industrial,residential,0.7,0.35535124885882174,0.5993589085006262,61.830000000000005,59.5,105.16000000000001,16.17,0.5110783567896539,0.48892164321034615,8.085
7,720,industrial,residential,0.75,0.3683284955172172,0.6184649420209448,61.379999999999995,63.74999999999999,105.56500000000001,19.564999999999984,0.4887746885804955,0.5112253114195046,9.782499999999985
7,720,industrial,residential,0.8,0.38111847187434167,0.6366394750720887,60.93000000000001,68.0,105.96999999999998,22.960000000000022,0.4666415023119751,0.5333584976880249,11.480000000000011
7,720,industrial,residential,0.85,0.3909999063648493,0.6538996308244469,60.480000000000004,72.24999999999999,106.515,26.21499999999999,0.4447495657888561,0.5552504342111438,13.107499999999995
7,720,industrial,residential,0.9,0.3980313209578876,0.6701666426942283,60.75000000000001,76.5,112.39999999999999,24.85000000000001,0.4299377224199289,0.5700622775800711,12.425000000000004
7,720,industrial,residential,0.95,0.4050246962709802,0.685714481407662,64.12499999999999,80.75,118.975,25.900000000000006,0.4301323807522588,0.5698676192477412,12.949999999999996
7,720,industrial,residential,1.0,0.41201807158407244,0.7006047903781477,67.5,85.0,125.55000000000001,26.94999999999999,0.4303066507367583,0.5696933492632418,13.474999999999994
