datetime_utc,lmp_usd_mwh
2015-06-06 05:00:00+00:00,19.4775
2015-06-06 06:00:00+00:00,19.485
2015-06-06 07:00:00+00:00,18.5125
2015-06-06 08:00:00+00:00,18.177500000000002
2015-06-06 09:00:00+00:00,17.8875
2015-06-06 10:00:00+00:00,17.767500000000002
2015-06-06 11:00:00+00:00,16.665
2015-06-06 12:00:00+00:00,16.8525
2015-06-06 13:00:00+00:00,18.3225
2015-06-06 14:00:00+00:00,19.1825
2015-06-06 15:00:00+00:00,21.965
2015-06-06 16:00:00+00:00,23.985
2015-06-06 17:00:00+00:00,24.75
2015-06-06 18:00:00+00:00,25.615000000000002
2015-06-06 19:00:00+00:00,27.91
2015-06-06 20:00:00+00:00,27.7825
2015-06-06 21:00:00+00:00,29.835
2015-06-06 22:00:00+00:00,28.2825
2015-06-06 23:00:00+00:00,26.5175
2015-06-07 00:00:00+00:00,24.87
2015-06-07 01:00:00+00:00,24.115000000000002
2015-06-07 02:00:00+00:00,23.2425
2015-06-07 03:00:00+00:00,21.685
2015-06-07 04:00:00+00:00,20.41
2015-06-07 05:00:00+00:00,18.86
2015-06-07 06:00:00+00:00,18.0475
2015-06-07 07:00:00+00:00,17.5325
2015-06-07 08:00:00+00:00,17.375
2015-06-07 09:00:00+00:00,16.792499999999997
2015-06-07 10:00:00+00:00,15.032499999999999
2015-06-07 11:00:00+00:00,6.282500000000001
2015-06-07 12:00:00+00:00,15.942499999999999
2015-06-07 13:00:00+00:00,17.315
2015-06-07 14:00:00+00:00,18.5875
2015-06-07 15:00:00+00:00,21.4175
2015-06-07 16:00:00+00:00,23.295
2015-06-07 17:00:00+00:00,24.3375
2015-06-07 18:00:00+00:00,24.83
2015-06-07 19:00:00+00:00,27.145
2015-06-07 20:00:00+00:00,28.13
2015-06-07 21:00:00+00:00,28.9175
2015-06-07 22:00:00+00:00,28.9125
2015-06-07 23:00:00+00:00,25.53
2015-06-08 00:00:00+00:00,24.035
2015-06-08 01:00:00+00:00,23.8325
2015-06-08 02:00:00+00:00,23.1125
2015-06-08 03:00:00+00:00,22.725
2015-06-08 04:00:00+00:00,21.884999999999998
2015-06-08 05:00:00+00:00,20.4375
2015-06-08 06:00:00+00:00,18.7075
2015-06-08 07:00:00+00:00,17.775
2015-06-08 08:00:00+00:00,17.6375
2015-06-08 09:00:00+00:00,17.740000000000002
2015-06-08 10:00:00+00:00,18.3175
2015-06-08 11:00:00+00:00,17.5625
2015-06-08 12:00:00+00:00,18.817500000000003
2015-06-08 13:00:00+00:00,19.5925
2015-06-08 14:00:00+00:00,22.8725
2015-06-08 15:00:00+00:00,24.0325
2015-06-08 16:00:00+00:00,24.8825
2015-06-08 17:00:00+00:00,26.4625
2015-06-08 18:00:00+00:00,29.674999999999997
2015-06-08 19:00:00+00:00,30.5375
2015-06-08 20:00:00+00:00,35.1725
2015-06-08 21:00:00+00:00,35.6625
2015-06-08 22:00:00+00:00,36.370000000000005
2015-06-08 23:00:00+00:00,27.9375
2015-06-09 00:00:00+00:00,26.0425
2015-06-09 01:00:00+00:00,25.0475
2015-06-09 02:00:00+00:00,24.94
2015-06-09 03:00:00+00:00,23.4325
2015-06-09 04:00:00+00:00,22.88
2015-06-09 05:00:00+00:00,22.265
2015-06-09 06:00:00+00:00,20.8725
2015-06-09 07:00:00+00:00,19.405
2015-06-09 08:00:00+00:00,18.5975
2015-06-09 09:00:00+00:00,18.3625
2015-06-09 10:00:00+00:00,18.63
2015-06-09 11:00:00+00:00,18.3075
