Iteration,x1
1,-10.0
2,-7.358008991923204
3,-5.489839234278219
4,-3.9644850145685098
5,-2.6434895105301117
6,-1.4619552125295294
7,-0.38336690006127916
8,-0.05969708764503656
9,-0.2048849833526847
10,-0.341769444154129
11,-0.07096785030967623
12,-0.20488498335268474
13,-0.32343040379007076
14,-0.08592169426766841
15,-0.2048849833526847
16,-0.31091523076039984
17,-0.09682777312232385
18,-0.2048849833526848
19,-0.3016769138244503
20,-0.10521678899836226
21,-0.20488498335268462
22,-0.2944968980792324
23,-0.1119225007544756
24,-0.20488498335268468
25,-0.28870925402257064
26,-0.11743928791210984
27,-0.20488498335268468
28,-0.28391526364427533
29,-0.12208035743615403
30,-0.20488498335268474
31,-0.27985969030556745
32,-0.12605472034864337
33,-0.2048849833526848
34,-0.27637056157190987
35,-0.12950777724516258
36,-0.20488498335268474
37,-0.2733272137534069
38,-0.1325441688314938
39,-0.20488498335268465
40,-0.27064215133090497
41,-0.13524135440867857
42,-0.20899158163272807
43,-0.27235677421098065
44,-0.14176464934718602
45,-0.2089915816327279
46,-0.2702081735158149
47,-0.1439462793462685
48,-0.20989657071680673
49,-0.26916928093549974
50,-0.1468335908565992
51,-0.21206300967295505
52,-0.26956598495490763
53,-0.15081163019370647
54,-0.21206300967295516
55,-0.26794585678621247
56,-0.15247566919045566
57,-0.21461425875022255
58,-0.26900662800349695
59,-0.15656238647364606
60,-0.21461425875022244
61,-0.26762938245408
62,-0.15798502201909886
63,-0.2152742137202972
64,-0.26701167681026733
65,-0.15996794799122932
66,-0.2165623368579008
67,-0.26711027397375625
68,-0.16249049100056515
69,-0.216562336857901
70,-0.26599919462120325
71,-0.16364581291372587
72,-0.21867370130342373
73,-0.26706966653930647
74,-0.1668414999702528
75,-0.2186737013034239
76,-0.26609186947837826
77,-0.16786180706533427
78,-0.21867370130342384
79,-0.2651710406924463
80,-0.16882415736100148
81,-0.22040067959448295
82,-0.2660288331949644
83,-0.17146081455313722
84,-0.22040067959448284
85,-0.2652066369577567
86,-0.17232245656043674
87,-0.2204006795944829
88,-0.2644273434694053
89,-0.17314014480702689
90,-0.2219515373694868
91,-0.265238204611147
