scenario,profit
2015-06,82385.4764890563
2015-07,107930.15431316059
2015-08,101268.05793358474
2015-09,95114.813741636
2016-06,67836.67930126282
2016-07,105018.92285487581
2016-08,86655.58188101632
2016-09,96021.71335729158
2017-06,98229.20098544429
2017-07,98488.8253817734
2017-08,82708.111952145
2017-09,94389.55095021534
2018-06,165280.70974128033
2018-07,160264.77474578007
2018-08,148021.23457510353
2018-09,82865.38960786082
2019-06,122477.71997589125
2019-07,140816.7451474797
2019-08,506423.36084474594
2019-09,170544.51182168303
2020-06,119842.43719826786
2020-07,120976.63754649942
2020-08,135096.33355756398
2020-09,86802.93674922241
2021-06,127391.10246032946
2021-07,88952.92553614255
2021-08,108849.18906608429
2021-09,108791.49090991271
2022-06,170479.31686112197
2022-07,355654.4213835931
2022-08,67836.67930126279
2022-09,57928.93545629337
2023-06,200982.23643362892
2023-07,162977.0837851273
2023-08,477620.86604286364
2023-09,242024.91812781533
2024-06,109973.18803800286
2024-07,90783.08205493502
2024-08,110721.91882383572
2024-09,68955.33653355087
