Iteration,x1,x2,x3
1,0.0,0.0,0.0
2,100000.0,100000.0,100000.0
3,0.0,0.0,279.94870967622205
4,0.0,0.0,330.10442902709383
5,0.0,0.0,362.5841723999168
6,0.0,0.0,383.7910567598859
7,0.0,0.0,394.3640236203247
8,0.0,0.0,400.93531281355257
9,0.0,0.0,407.17106287262044
10,0.0,0.0,411.3136380598857
11,259.38160323452905,150.25230897278223,0.0
12,261.4281204272434,149.22905037642502,0.0
13,0.0,279.9431105900535,129.93105167259387
14,100.30096299211623,279.94311059005327,29.629085630726003
15,0.0,336.7514917874532,72.78123844691669
16,0.0,336.7514917874532,73.19533309992381
17,77.05452009999016,328.535303765264,4.283039047896011
18,7.395868652055361,363.36462948923145,39.11236477186334
19,44.93732948235059,364.8860186783739,0.0
20,45.05268512071277,364.83270304719804,0.0
21,2.0379491510783185,384.7134633692979,23.12168161652685
22,21.653075987285174,384.7134633692979,3.5063586212052678
23,0.0,395.1634449576508,14.702981303812212
24,0.0,395.16344495764935,14.711090761029048
25,13.541217367765494,394.36690275954544,1.9647427858392654
26,0.0,401.76106264195903,8.111625669871508
27,0.0,401.761062641954,8.11227495259024
28,10.952040283498803,398.9208226296365,0.0
29,5.762950909173083,397.76769165756554,6.342220346411554
30,10.39155655156076,397.1891159522671,2.2920457596099757
31,10.391556551564799,397.1891159522666,2.2922322285101293
32,7.404590936745272,398.9812953211645,3.486976655240433
33,7.906103477334337,397.97827023998,3.988489195835774
34,7.986222749428513,397.81803169582656,4.068608467895055
35,8.159401057020295,397.81803169581883,3.8954301603110135
36,7.961476260423661,397.91699409484863,3.994390578550696
