population,n,mean_πNE,q05_πNE,q95_πNE,mean_GSF
red (tail @ Q^sell = 15),100,485.1859566666668,271.74854583333325,689.6482916666668,0.9555013857749999
blue (tail @ Q^sell = 0),100,12.420009999999998,12.199999999999998,13.327374999999996,0.8660782937583332
all 2000,2000,86.718025375,12.199999999999998,394.26541666666657,0.9873165924125001
