Qsell,E,CVaR,rho
0.0,-1.2963723890372617e6,-8.925917679621525e6,-5.111145034329394e6
0.01,-1.2917047998275014e6,-8.914741747713525e6,-5.103223273770513e6
0.02,-1.2870372106177418e6,-8.903565815805525e6,-5.095301513211633e6
0.03,-1.2823696214079817e6,-8.892389883897517e6,-5.087379752652749e6
0.04,-1.2777020321982226e6,-8.881213951989518e6,-5.07945799209387e6
0.05,-1.2730344429884623e6,-8.870038020081516e6,-5.07153623153499e6
0.06,-1.268366853778701e6,-8.858862088173525e6,-5.063614470976113e6
0.07,-1.2636992645689426e6,-8.847686156265523e6,-5.055692710417233e6
0.08,-1.2590316753591811e6,-8.836510224357523e6,-5.047770949858353e6
0.09,-1.254364086149423e6,-8.82533429244952e6,-5.039849189299472e6
0.1,-1.249696496939662e6,-8.814158360541513e6,-5.031927428740587e6
0.11,-1.245028907729901e6,-8.80298242863352e6,-5.024005668181711e6
0.12,-1.2403613185201425e6,-8.791806496725524e6,-5.016083907622833e6
0.13,-1.2356937293103817e6,-8.780630564817527e6,-5.008162147063955e6
0.14,-1.2310261401006228e6,-8.769454632909529e6,-5.000240386505076e6
0.15,-1.226358550890862e6,-8.758278701001521e6,-4.992318625946192e6
0.16,-1.221690961681101e6,-8.747102769093527e6,-4.984396865387314e6
0.17,-1.2170233724713426e6,-8.735926837185523e6,-4.976475104828432e6
0.18,-1.212355783261581e6,-8.72475090527752e6,-4.96855334426955e6
0.19,-1.2076881940518226e6,-8.71357497336952e6,-4.960631583710671e6
0.2,-1.2030206048420616e6,-8.702399041461524e6,-4.952709823151792e6
0.21,-1.1983530156323018e6,-8.691223109553518e6,-4.94478806259291e6
0.22,-1.1936854264225422e6,-8.680047177645518e6,-4.93686630203403e6
0.23,-1.1890178372127817e6,-8.668871245737523e6,-4.928944541475153e6
0.24,-1.1843502480030225e6,-8.65769531382952e6,-4.921022780916272e6
0.25,-1.1796826587932617e6,-8.646519381921526e6,-4.913101020357394e6
0.26,-1.1750150695835014e6,-8.635343450013515e6,-4.905179259798508e6
0.27,-1.1703474803737425e6,-8.624167518105518e6,-4.89725749923963e6
0.28,-1.1656798911639818e6,-8.61299171371161e6,-4.889335802437796e6
0.29,-1.1610123019542224e6,-8.60181619695562e6,-4.881414249454921e6
0.3,-1.1563447127444625e6,-8.590640680199608e6,-4.873492696472036e6
0.31,-1.1516771235347008e6,-8.579465163443597e6,-4.8655711434891485e6
0.32,-1.1470095343249422e6,-8.568289646687595e6,-4.857649590506269e6
0.33,-1.1423419451151812e6,-8.557114129931597e6,-4.849728037523389e6
0.34,-1.1376743559054225e6,-8.545938613175603e6,-4.841806484540513e6
0.35,-1.1330067666956617e6,-8.534763096419608e6,-4.833884931557635e6
0.36,-1.1283391774859012e6,-8.523587579663614e6,-4.825963378574758e6
0.37,-1.123671588276142e6,-8.512412062907606e6,-4.818041825591874e6
0.38,-1.1190039990663815e6,-8.501236546151605e6,-4.810120272608993e6
0.39,-1.114336409856623e6,-8.490061029395603e6,-4.802198719626113e6
0.4,-1.1096688206468618e6,-8.478885512639603e6,-4.794277166643232e6
0.41,-1.1050012314371013e6,-8.4677099958836e6,-4.786355613660351e6
0.42,-1.1003336422273428e6,-8.456534479127605e6,-4.778434060677473e6
0.43,-1.095666053017581e6,-8.445358962371603e6,-4.770512507694592e6
0.44,-1.0909984638078231e6,-8.434183445615612e6,-4.762590954711718e6
0.45,-1.0863308745980621e6,-8.423007928859605e6,-4.754669401728833e6
0.46,-1.0816632853883018e6,-8.411832412103603e6,-4.746747848745952e6
0.47,-1.0769956961785425e6,-8.400656895347603e6,-4.738826295763073e6
0.48,-1.0723281069687817e6,-8.389481378591603e6,-4.730904742780192e6
0.49,-1.0676605177590228e6,-8.378305861835601e6,-4.722983189797312e6
0.5,-1.062992928549262e6,-8.367130345079605e6,-4.715061636814433e6
0.51,-1.058325339339502e6,-8.3559548283236055e6,-4.707140083831553e6
0.52,-1.0536577501297423e6,-8.344779311567604e6,-4.699218530848673e6
0.53,-1.0489901609199815e6,-8.333603794811604e6,-4.691296977865793e6
0.54,-1.0443225717102223e6,-8.322428278055606e6,-4.683375424882914e6
0.55,-1.0396549825004623e6,-8.311252761299604e6,-4.675453871900033e6
0.56,-1.0349873932907012e6,-8.300077244543601e6,-4.667532318917151e6
0.57,-1.0303198040809425e6,-8.288901727787604e6,-4.659610765934273e6
0.58,-1.0256522148711813e6,-8.2777262110316055e6,-4.651689212951394e6
0.59,-1.0209846256614226e6,-8.266550694275602e6,-4.643767659968512e6
0.6,-1.0163170364516621e6,-8.255375177519606e6,-4.635846106985634e6
0.61,-1.011649447241901e6,-8.244199660763604e6,-4.6279245540027525e6
0.62,-1.0069818580321425e6,-8.233024701656681e6,-4.620003279844412e6
0.63,-1.0023142688223816e6,-8.221853150821475e6,-4.612083709821928e6
0.64,-997646.6796126231,-8.210681599986277e6,-4.60416413979945e6
0.65,-992979.090402862,-8.199510049151079e6,-4.596244569776971e6
0.66,-988311.5011931014,-8.188338498315876e6,-4.5883249997544885e6
0.67,-983643.9119833426,-8.177166947480674e6,-4.580405429732008e6
0.68,-978976.3227735813,-8.16599539664548e6,-4.57248585970953e6
0.69,-974308.7335638226,-8.1548238458102755e6,-4.564566289687049e6
0.7,-969641.1443540616,-8.143652294975076e6,-4.556646719664569e6
0.71,-964973.5551443014,-8.132480744139875e6,-4.548727149642088e6
0.72,-960305.9659345421,-8.121309193304678e6,-4.540807579619611e6
0.73,-955638.3767247817,-8.110137642469476e6,-4.532888009597129e6
0.74,-950970.7875150228,-8.098966091634277e6,-4.52496843957465e6
0.75,-946303.1983052619,-8.0877945407990785e6,-4.51704886955217e6
0.76,-941635.6090955015,-8.076622989963879e6,-4.50912929952969e6
0.77,-936968.0198857425,-8.065451439128675e6,-4.501209729507209e6
0.78,-932300.4306759813,-8.054279888293479e6,-4.49329015948473e6
0.79,-927632.8414662225,-8.043108337458279e6,-4.4853705894622505e6
0.8,-922965.2522564625,-8.03193678662308e6,-4.477451019439772e6
0.81,-918297.6630467011,-8.02076523578788e6,-4.46953144941729e6
0.82,-913630.0738369422,-8.009593684952677e6,-4.46161187939481e6
0.83,-908962.4846271813,-7.998422134117477e6,-4.453692309372329e6
0.84,-904294.8954174212,-7.987250583282277e6,-4.4457727393498495e6
0.85,-899627.3062076623,-7.976079032447077e6,-4.43785316932737e6
0.86,-894959.7169979017,-7.96490748161188e6,-4.42993359930489e6
0.87,-890292.1277881424,-7.953735930776679e6,-4.422014029282411e6
0.88,-885624.5385783815,-7.942564379941478e6,-4.41409445925993e6
0.89,-880956.949368622,-7.93139282910628e6,-4.40617488923745e6
0.9,-876289.3601588618,-7.92022127827108e6,-4.398255319214971e6
0.91,-871621.7709491024,-7.909049727435881e6,-4.390335749192492e6
0.92,-866954.1817393426,-7.897878176600679e6,-4.382416179170011e6
0.93,-862286.5925295812,-7.88670662576548e6,-4.374496609147531e6
0.94,-857619.0033198219,-7.875535074930281e6,-4.366577039125051e6
0.95,-852951.4141100616,-7.86436352409508e6,-4.358657469102571e6
0.96,-848283.8249003022,-7.853191973259879e6,-4.350737899080091e6
0.97,-843616.2356905425,-7.842020422424679e6,-4.342818329057611e6
0.98,-838948.6464807818,-7.830848871589477e6,-4.334898759035129e6
0.99,-834281.0572710214,-7.819677320754279e6,-4.32697918901265e6
1.0,-829613.468061262,-7.80850576991908e6,-4.319059618990171e6
1.01,-824945.8788515024,-7.797334219083879e6,-4.311140048967691e6
1.02,-820278.2896417424,-7.786162668248677e6,-4.30322047894521e6
1.03,-815610.7004319818,-7.774991117413477e6,-4.295300908922729e6
1.04,-810943.1112222216,-7.763819566578277e6,-4.287381338900249e6
1.05,-806275.5220124619,-7.752648015743077e6,-4.279461768877769e6
1.06,-801607.9328027021,-7.741476464907875e6,-4.271542198855288e6
1.07,-796940.3435929425,-7.7303049140726775e6,-4.26362262883281e6
1.08,-792272.7543831817,-7.719133363237479e6,-4.25570305881033e6
1.09,-787605.1651734217,-7.707961812402279e6,-4.24778348878785e6
1.1,-782937.5759636619,-7.696790261567078e6,-4.23986391876537e6
1.11,-778269.9867539022,-7.685618710731879e6,-4.23194434874289e6
1.12,-773602.3975441426,-7.674447159896678e6,-4.224024778720411e6
1.13,-768934.8083343811,-7.6632756090614805e6,-4.216105208697931e6
1.14,-764267.219124622,-7.65210405822628e6,-4.208185638675451e6
1.15,-759599.6299148618,-7.640932507391077e6,-4.200266068652969e6
1.16,-754932.040705102,-7.629760956555878e6,-4.19234649863049e6
1.17,-750264.4514953425,-7.618589405720676e6,-4.1844269286080096e6
1.18,-745596.8622855813,-7.6074178548854785e6,-4.17650735858553e6
1.19,-740929.2730758218,-7.596246304050281e6,-4.1685877885630513e6
1.2,-736261.6838660617,-7.585074753215083e6,-4.1606682185405726e6
1.21,-731594.0946563022,-7.573903202379877e6,-4.1527486485180897e6
1.22,-726926.5054465423,-7.562731651544676e6,-4.144829078495609e6
1.23,-722258.9162367816,-7.551560100709481e6,-4.1369095084731313e6
1.24,-717591.3270270217,-7.540388549874281e6,-4.1289899384506512e6
1.25,-712923.737817262,-7.529216999039078e6,-4.12107036842817e6
1.26,-708256.1486075022,-7.5180454482038785e6,-4.11315079840569e6
1.27,-703588.5593977425,-7.50687389736868e6,-4.105231228383211e6
1.28,-698920.9701879815,-7.495702346533476e6,-4.097311658360729e6
1.29,-694253.3809782214,-7.48453079569828e6,-4.0893920883382508e6
1.3,-689585.7917684619,-7.47335924486308e6,-4.0814725183157707e6
1.31,-684918.2025587023,-7.46218769402788e6,-4.073552948293291e6
1.32,-680250.6133489427,-7.45101614319268e6,-4.0656333782708114e6
1.33,-675583.0241391816,-7.439844592357475e6,-4.0577138082483285e6
1.34,-670915.4349294214,-7.428673041522278e6,-4.04979423822585e6
1.35,-666247.845719662,-7.417501490687081e6,-4.0418746682033716e6
1.36,-661580.256509902,-7.40632993985188e6,-4.033955098180891e6
1.37,-656912.667300143,-7.395158389016679e6,-4.026035528158411e6
1.38,-652245.0780903811,-7.383986838181478e6,-4.0181159581359294e6
1.39,-647577.4888806222,-7.372815287346278e6,-4.0101963881134503e6
1.4,-642909.8996708622,-7.361643736511075e6,-4.0022768180909688e6
1.41,-638242.3104611025,-7.35047218567588e6,-3.994357248068491e6
1.42,-633574.7212513424,-7.33930063484068e6,-3.9864376780460114e6
1.43,-628907.1320415816,-7.3281311930549815e6,-3.9785191625482817e6
1.44,-624239.542831822,-7.316962761667786e6,-3.970601152249804e6
1.45,-619571.9536220618,-7.305794330280584e6,-3.962683141951323e6
1.46,-614904.3644123022,-7.294625898893384e6,-3.954765131652843e6
1.47,-610236.7752025424,-7.283457467506182e6,-3.9468471213543625e6
1.48,-605569.1859927819,-7.272289036118982e6,-3.938929111055882e6
1.49,-600901.5967830215,-7.261120604731784e6,-3.931011100757403e6
1.5,-596234.0075732619,-7.249952173344582e6,-3.923093090458922e6
1.51,-591566.4183635022,-7.238783741957388e6,-3.915175080160445e6
1.52,-586898.8291537421,-7.227615310570187e6,-3.9072570698619643e6
1.53,-582231.2399439818,-7.216446879182985e6,-3.8993390595634836e6
1.54,-577563.6507342213,-7.205278447795785e6,-3.8914210492650033e6
1.55,-572896.061524462,-7.194110016408585e6,-3.8835030389665235e6
1.56,-568228.4723147023,-7.182941585021385e6,-3.8755850286680437e6
1.57,-563560.8831049426,-7.171773153634187e6,-3.867667018369565e6
1.58,-558893.2938951814,-7.160604722246985e6,-3.859749008071083e6
1.59,-554225.7046854214,-7.149436290859785e6,-3.8518309977726033e6
1.6,-549558.1154756619,-7.138267859472583e6,-3.8439129874741226e6
1.61,-544890.5262659021,-7.127099428085384e6,-3.835994977175643e6
1.62,-540222.9370561426,-7.115930996698184e6,-3.8280769668771634e6
1.63,-535555.3478463815,-7.104762565310984e6,-3.8201589565786826e6
1.64,-530887.758636622,-7.0935951326754065e6,-3.812241445656014e6
1.65,-526220.1694268619,-7.082429069440204e6,-3.804324619433533e6
1.66,-521552.58021710214,-7.071263006205004e6,-3.796407793211053e6
1.67,-516884.99100734235,-7.060096942969804e6,-3.788490966988573e6
1.68,-512217.40179758135,-7.048930879734604e6,-3.7805741407660926e6
1.69,-507549.8125878217,-7.037764816499406e6,-3.7726573145436137e6
1.7,-502882.2233780615,-7.0265987532642055e6,-3.7647404883211334e6
1.71,-498214.6341683021,-7.015432690029004e6,-3.7568236620986527e6
1.72,-493547.04495854245,-7.004266626793806e6,-3.7489068358761743e6
1.73,-488879.45574878156,-6.993100563558602e6,-3.7409900096536917e6
1.74,-484211.8665390215,-6.981934500323404e6,-3.733073183431213e6
1.75,-479544.27732926176,-6.970768437088204e6,-3.7251563572087325e6
1.76,-474876.6881195025,-6.9596023738530055e6,-3.717239530986254e6
1.77,-470209.0989097421,-6.9484363106178045e6,-3.7093227047637734e6
1.78,-465541.50969998154,-6.937270247382602e6,-3.7014058785412917e6
1.79,-460873.9204902216,-6.926104184147403e6,-3.6934890523188123e6
1.8,-456206.3312804622,-6.914938120912206e6,-3.6855722260963344e6
1.81,-451538.7420707024,-6.903772057677005e6,-3.677655399873854e6
1.82,-446871.15286094253,-6.892605994441807e6,-3.669738573651375e6
1.83,-442203.56365118135,-6.881439931206607e6,-3.6618217474288945e6
1.84,-437535.97444142133,-6.870273867971405e6,-3.6539049212064133e6
1.85,-432868.385231662,-6.859107804736203e6,-3.645988094983932e6
1.86,-428200.7960219011,-6.847941741501004e6,-3.6380712687614528e6
1.87,-423533.2068121426,-6.836775678265804e6,-3.6301544425389734e6
1.88,-418865.6176023813,-6.825609615030603e6,-3.6222376163164917e6
1.89,-414198.02839262283,-6.814443551795403e6,-3.614320790094013e6
1.9,-409530.4391828618,-6.803277488560204e6,-3.606403963871533e6
1.91,-404862.8499731023,-6.792111425325007e6,-3.5984871376490546e6
1.92,-400195.26076334226,-6.780945362089804e6,-3.5905703114265734e6
1.93,-395527.6715535815,-6.769779298854602e6,-3.5826534852040913e6
1.94,-390860.0823438224,-6.758613235619406e6,-3.5747366589816143e6
1.95,-386192.4931340617,-6.747447172384205e6,-3.5668198327591335e6
1.96,-381524.90392430226,-6.736281109149005e6,-3.5589030065366537e6
1.97,-376857.3147145422,-6.725115045913807e6,-3.550986180314175e6
1.98,-372189.72550478164,-6.713948982678604e6,-3.543069354091693e6
1.99,-367522.1362950215,-6.702782919443404e6,-3.535152527869213e6
2.0,-362854.54708526214,-6.691616856208204e6,-3.527235701646733e6
2.01,-358186.9578755021,-6.680450792973005e6,-3.5193188754242538e6
2.02,-353519.36866574216,-6.669284729737809e6,-3.5114020492017753e6
2.03,-348851.7794559814,-6.658118666502604e6,-3.5034852229792927e6
2.04,-344184.1902462216,-6.646952603267402e6,-3.495568396756812e6
2.05,-339516.601036462,-6.635786540032205e6,-3.4876515705343336e6
2.06,-334849.0118267011,-6.624620476797001e6,-3.4797347443118514e6
2.07,-330181.4226169423,-6.613454413561807e6,-3.471817918089375e6
2.08,-325513.83340718155,-6.602288350326603e6,-3.4639010918668923e6
2.09,-320846.2441974225,-6.591122287091405e6,-3.455984265644414e6
2.1,-316178.65498766187,-6.579956703453204e6,-3.448067679220433e6
2.11,-311511.0657779019,-6.568792766882004e6,-3.440151916329953e6
2.12,-306843.47656814265,-6.557628830310804e6,-3.4322361534394734e6
2.13,-302175.8873583813,-6.546464893739606e6,-3.424320390548994e6
2.14,-297508.2981486219,-6.535300957168404e6,-3.416404627658513e6
2.15,-292840.7089388618,-6.524137020597206e6,-3.4084888647680343e6
2.16,-288173.11972910137,-6.512973084026006e6,-3.400573101877554e6
2.17,-283505.53051934217,-6.501809147454806e6,-3.392657338987074e6
2.18,-278837.9413095814,-6.490645210883605e6,-3.3847415760965934e6
2.19,-274170.3520998226,-6.479481274312409e6,-3.3768258132061157e6
2.2,-269502.7628900618,-6.4683173377412055e6,-3.3689100503156334e6
2.21,-264835.17368030234,-6.457153401170005e6,-3.360994287425154e6
2.22,-260167.58447054256,-6.445989464598805e6,-3.3530785245346734e6
2.23,-255499.9952607817,-6.434825528027606e6,-3.345162761644194e6
2.24,-250832.40605102177,-6.423661591456404e6,-3.337246998753713e6
2.25,-246164.81684126196,-6.4124976548852045e6,-3.3293312358632335e6
2.26,-241497.22763150203,-6.401333718314005e6,-3.3214154729727535e6
2.27,-236829.63842174227,-6.390169781742806e6,-3.313499710082274e6
2.28,-232162.04921198142,-6.379005845171606e6,-3.305583947191794e6
2.29,-227494.4600022216,-6.367841908600405e6,-3.297668184301313e6
2.3,-222826.87079246197,-6.356677972029206e6,-3.289752421410834e6
2.31,-218159.2815827013,-6.345514035458006e6,-3.2818366585203535e6
2.32,-213491.69237294252,-6.334350098886807e6,-3.273920895629875e6
2.33,-208824.10316318148,-6.323186162315604e6,-3.266005132739393e6
2.34,-204156.5139534226,-6.312022225744405e6,-3.2580893698489135e6
2.35,-199488.924743662,-6.3008582891732035e6,-3.2501736069584326e6
2.36,-194821.33553390193,-6.289694352602009e6,-3.2422578440679554e6
2.37,-190153.74632414276,-6.278530416030806e6,-3.234342081177474e6
2.38,-185486.15711438138,-6.267366479459606e6,-3.2264263182869935e6
2.39,-180818.5679046219,-6.256202542888403e6,-3.2185105553965126e6
