Iteration,x1
1,-0.5
2,-0.4292893218813453
3,-0.37971926077165996
4,-0.341747334694494
5,-0.31118052383424355
6,-0.2857727404580477
7,-0.26417035180852194
8,-0.24549068709329777
9,-0.22912464128707793
10,-0.21463352659635354
11,-0.2016906379572468
12,-0.19004602354548242
13,-0.17950416689023205
14,-0.16990926557592434
15,-0.1611351888300325
16,-0.15307842938853086
17,-0.14565303487826536
18,-0.13878688496741054
19,-0.132418905954129
20,-0.12649695244973733
21,-0.12097617283276446
22,-0.11581773149078335
23,-0.11098779820693928
24,-0.10645674031890617
25,-0.10219847070614993
26,-0.09818991688776532
27,-0.09441058522464144
28,-0.090842200515549
29,-0.08746840588645252
30,-0.08427451128825067
31,-0.08124728147763365
32,-0.0783747562933433
33,-0.07564609752101444
34,-0.07305145778173319
35,-0.0705818677673991
36,-0.06822913884181912
37,-0.06598577857575678
38,-0.06384491722076097
39,-0.06180024347588115
40,-0.059845948182513695
41,-0.05797667481022294
42,-0.0561874757816469
43,-0.0544737738361871
44,-0.05283132775682972
45,-0.05125620188741849
46,-0.049744738953148224
47,-0.048293535768255035
48,-0.04689942147445899
49,-0.04555943800376016
50,-0.04427082250137988
51,-0.043030991480335457
52,-0.041837526509440046
53,-0.04068816126232906
54,-0.039580769777164806
55,-0.03851335579556665
56,-0.037484043065552836
57,-0.03649106650727395
58,-0.03553276415241054
59,-0.03460756977858238
60,-0.03371400616921464
61,-0.03285067893722571
62,-0.032016270857811675
63,-0.031209536661645443
64,-0.030429298245104305
65,-0.02967444025879083
66,-0.028943906039704488
67,-0.02823669385603013
68,-0.027551853436696944
69,-0.026888482760682775
70,-0.02624572508353952
71,-0.02562276618083666
72,-0.02501883179019576
73,-0.024433185235349455
74,-0.02386512521722951
75,-0.023313983758493046
76,-0.022779124289152942
77,-0.02225993986210542
78,-0.021755851488359384
79,-0.021266306582681454
80,-0.020790777511189185
81,-0.020328760233162758
82,-0.019879773030011195
83,-0.019443355314930758
