Iteration,x1,x2
1,-0.5,-0.5
2,1.0,1.0
3,1.0,-0.5
4,0.25,0.25
5,0.25,-0.5
6,-0.125,-0.125
7,0.25,-0.125
8,0.0625,0.0625
9,0.0625,-0.125
10,-0.03125,-0.03125
11,0.0625,-0.03125
12,0.015625,0.015625
13,0.015625,-0.03125
14,-0.0078125,-0.0078125
15,0.015625,-0.0078125
16,0.00390625,0.00390625
17,0.00390625,-0.0078125
